Date,Open,High,Low,Close,Adj Close,Volume
2007-01-19,125.250000,125.709999,125.180000,125.550003,85.175011,10946400
2007-01-22,125.480003,125.510002,124.379997,124.750000,84.632240,10233200
2007-01-23,124.709999,125.410004,124.580002,125.330002,85.025726,6596600
2007-01-24,125.510002,126.120003,125.379997,126.070000,85.527771,10118500
2007-01-25,126.029999,126.120003,124.790001,124.970001,84.781540,8768800
2007-01-26,125.209999,125.279999,124.209999,124.769997,84.645821,9675900
2007-01-29,124.830002,125.309998,124.690002,124.820000,84.679749,6681200
2007-01-30,124.900002,125.269997,124.639999,125.160004,84.910461,7639900
2007-01-31,125.190002,126.489998,125.129997,126.239998,85.643066,9790200
2007-02-01,126.459999,126.769997,126.169998,126.739998,85.982338,8707400
2007-02-02,126.800003,126.830002,126.320000,126.529999,85.839851,5961000
2007-02-05,126.440002,126.739998,126.250000,126.680000,85.941620,4625000
2007-02-06,126.620003,126.790001,126.300003,126.650002,85.921265,7254800
2007-02-07,126.760002,127.059998,126.330002,126.790001,86.016212,5930400
2007-02-08,126.550003,126.580002,125.779999,126.470001,85.799133,6289600
2007-02-09,126.519997,126.790001,125.480003,125.879997,85.398880,6601100
2007-02-12,125.879997,126.040001,125.389999,125.589996,85.202126,9208000
2007-02-13,126.019997,127.000000,125.980003,126.629997,85.907669,6416000
2007-02-14,126.779999,127.830002,126.699997,127.480003,86.484390,7395600
2007-02-15,127.610001,127.900002,127.489998,127.769997,86.681129,6077800
2007-02-16,127.410004,127.570000,127.309998,127.570000,86.701469,5813600
2007-02-20,127.449997,127.849998,126.919998,127.660004,86.762604,5611900
2007-02-21,127.300003,127.589996,126.980003,127.370003,86.565552,5303800
2007-02-22,127.400002,127.589996,126.440002,126.790001,86.171356,7221000
2007-02-23,126.720001,126.739998,126.269997,126.410004,85.913116,5916600
2007-02-26,126.860001,127.000000,126.089996,126.339996,85.865540,7599500
2007-02-27,125.339996,126.440002,120.500000,121.599998,82.644051,32106200
2007-02-28,122.410004,123.470001,121.500000,122.660004,83.364487,19617800
2007-03-01,121.410004,122.900002,120.050003,122.440002,83.214928,24877800
2007-03-02,122.000000,122.470001,120.959999,120.959999,82.209053,17515400
2007-03-05,120.400002,121.910004,120.279999,120.300003,81.760529,15602600
